Tipo de Sentimento,Comentário,Classificação
Neutro,"Há sinalética em braille em alguns locais.",Braille
Neutro,"O hospital tem intérprete de língua gestual portuguesa sob pedido.",LGP
Neutro,"Existe um serviço de transporte adaptado para doentes.",Transporte Adaptado
Neutro,"O hospital tem lugares de estacionamento reservados para PcD.",Estacionamento
Neutro,"Há prioridade de atendimento para grávidas e PcD.",Prioridade
Neutro,"O hospital tem um balcão baixo para cadeiras de rodas.",Recepção
Neutro,"Existe um serviço de apoio psicológico gratuito para colaboradores.",Apoio Psicológico
Neutro,"O hospital tem um ginásio com aulas gratuitas para funcionários.",Ginásio
Neutro,"Há seguro de vida grupo para todos os colaboradores.",Seguro
Neutro,"O hospital tem prémio de assiduidade anual.",Prémios
Neutro,"Existe um fundo de emergência para colaboradores.",Fundo
Neutro,"O hospital tem protocolo com creche externa.",Creche
Neutro,"Há horários flexíveis para pais com filhos pequenos.",Flexibilidade
Neutro,"O hospital tem um dia de aniversário livre.",Aniversário
Neutro,"Existe um programa de reconhecimento colaborador do mês.",Reconhecimento
Neutro,"O hospital tem cantina com refeições gratuitas para turnos da noite.",Cantina
Neutro,"Há fruta gratuita todas as semanas.",Saúde
Neutro,"O hospital organiza rastreios de saúde anuais para funcionários.",Rastreios
Neutro,"Existe um seguro dentário incluído.",Dentário
Neutro,"O hospital tem consultas gratuitas para colaboradores e família direta.",Consultas
Neutro,"Há vacinas gratuitas da gripe todos os anos.",Vacinação
Neutro,"O hospital tem um clube de corrida interno.",Corrida
Neutro,"Existe um grupo de caminhadas ao fim de semana.",Caminhadas
Neutro,"O hospital tem aulas de yoga semanais gratuitas.",Yoga
Neutro,"Há torneios internos de futebol e padel.",Desporto
Neutro,"O hospital tem protocolo com ginásios externos.",Ginásios
Neutro,"Existe um programa de apoio à natalidade.",Natalidade
Neutro,"O hospital tem licença de parentalidade alargada.",Parentalidade
Neutro,"Há um quarto de amamentação para colaboradoras.",Amamentação
Neutro,"O hospital tem um programa de estágios remunerados.",Estágios
Neutro,"Existe uma academia interna de formação.",Formação
Neutro,"O hospital tem biblioteca física e digital.",Biblioteca
Neutro,"Há acesso gratuito a revistas científicas.",Revistas
Neutro,"O hospital tem subscrição UpToDate para todos os médicos.",UpToDate
Neutro,"Existe um jornal interno mensal.",Jornal Interno
Neutro,"O hospital tem um intranet para colaboradores.",Intranet
Neutro,"Há um grupo de WhatsApp oficial por serviço.",Comunicação
Neutro,"O hospital tem um sistema de avaliação 360 graus.",Avaliação
Neutro,"Existe um plano de sucessão para cargos de chefia.",Sucessão
Neutro,"O hospital tem um orçamento anual superior a 100 milhões de euros.",Orçamento
Neutro,"Há mais de 500 médicos credenciados.",Médicos
Neutro,"O hospital realiza mais de 15.000 cirurgias por ano.",Cirurgias
Neutro,"Existem cerca de 300.000 consultas externas anuais.",Consultas
Neutro,"O hospital faz mais de 1 milhão de exames por ano.",Exames
Neutro,"Há uma média de 250 partos por mês na maternidade.",Partos
Neutro,"O hospital tem taxa de ocupação média de 85% nos quartos.",Ocupação
Neutro,"Existe uma lista de espera inferior a 30 dias na maioria das especialidades.",Lista de Espera
Neutro,"O hospital tem mais de 98% de satisfação global nos inquéritos.",Satisfação
Neutro,"Há uma taxa de reclamações inferior a 1 por 1000 episódios.",Reclamações
Neutro,"O hospital tem certificação de nível III pela ERS.",Certificação
Neutro,"Existe um índice de segurança do doente elevado.",Segurança
Neutro,"O hospital tem zero eventos sentinela nos últimos 5 anos.",Segurança
Neutro,"Há uma taxa de infeção hospitalar abaixo da média europeia.",Infeções
Neutro,"O hospital tem um centro de excelência em várias especialidades.",Excelência
Neutro,"Existe um ranking entre os 10 melhores hospitais privados do país.",Ranking
Neutro,"O hospital pertence ao grupo Luz Saúde.",Grupo
Neutro,"Há mais de 20 unidades do grupo em Portugal.",Rede
Neutro,"O hospital foi inaugurado em 2007.",História
Neutro,"Existe um plano de expansão para novas unidades.",Expansão
Neutro,"O hospital tem capital 100% português.",Capital
Neutro,"Há investidores institucionais no grupo.",Investidores
Neutro,"O hospital tem rating de crédito investment grade.",Rating
Neutro,"Existe um programa de responsabilidade social empresarial.",RSE
Neutro,"O hospital apoia várias instituições de solidariedade.",Solidariedade
Neutro,"Há uma fundação com o nome do grupo.",Fundação
Neutro,"O hospital tem um orçamento anual para ações sociais.",Ações Sociais
Neutro,"Existe um dia aberto à comunidade todos os anos.",Comunidade
Neutro,"O hospital tem um hino oficial.",Hino
Neutro,"Há um logótipo reconhecido nacionalmente.",Marca
Neutro,"O hospital tem slogan “Cuidamos de si”." ,Slogan
Neutro,"Existe uma cor institucional azul.",Identidade
Neutro,"O hospital tem um mascote para a pediatria.",Mascote
Neutro,"Há uma música de espera própria no call-center.",Call Center
Neutro,"O hospital tem mais de 1 milhão de seguidores nas redes.",Redes Sociais
Neutro,"Existe um site com mais de 1 milhão de visitas anuais.",Site
Neutro,"O hospital tem uma app com mais de 500.000 downloads.",Aplicação
Neutro,"Há um chatbot no site e na app.",Chatbot
Neutro,"O hospital tem uma central de marcações única.",Marcações
Neutro,"Existe um número único nacional 707 28 28 28.",Contacto
Positivo,"Fiz uma consulta de medicina do trabalho e saiu tudo perfeito no mesmo dia.",Medicina do Trabalho
Positivo,"O hospital tem um serviço de teleconsulta que me salvou quando estava fora do país.",Telemedicina
Positivo,"Fiz o meu check-up executivo completo num só dia e valeu cada cêntimo.",Check-up
Positivo,"A Dra. Isabel foi incrível com o meu bebé na neonatologia. Tranquilidade total.",Neonatologia
Positivo,"O robot Da Vinci fez a minha prostatectomia – voltei à vida normal em 10 dias.",Cirurgia Robótica
Positivo,"Fiz tratamento de varizes com laser e no dia seguinte já usava saia.",Cirurgia Vascular
Positivo,"O hospital tem um centro de sono onde finalmente descobriram o meu problema.",Medicina do Sono
Positivo,"Fiz fertilização in vitro e no primeiro tentativa engravidei de gémeos!",PMA
Positivo,"A equipa de psicologia infantil é mágica – o meu filho saiu de lá a sorrir.",Psicologia Infantil
Positivo,"Fiz cirurgia refrativa aos olhos e no dia seguinte já conduzia sem óculos.",Oftalmologia
Positivo,"O hospital tem um programa de reabilitação cardíaca que mudou a minha vida.",Reabilitação Cardíaca
Positivo,"Fiz ablação de fibrilhação auricular e o coração voltou ao ritmo normal.",Arritmologia
Positivo,"A unidade de AVC tratou o meu pai em menos de 1 hora – salvou-lhe a mobilidade.",Via Verde AVC
Positivo,"Fiz quimioterapia com os novos protocolos – quase sem efeitos secundários.",Oncologia
Positivo,"O hospital tem um serviço de imunoterapia que está a dar resultados incríveis.",Imunoterapia
Positivo,"Fiz transplante de córnea e voltei a ver cores como nunca.",Oftalmologia
Positivo,"A maternidade tem quartos com vista para o mar – parto dos sonhos.",Maternidade
Positivo,"Fiz parto humanizado com doula e música – experiência inesquecível.",Parto Humanizado
Positivo,"O hospital tem banco de leite materno e ajudou imenso o meu prematuro.",Banco de Leite
Positivo,"Fiz cirurgia bariátrica e em 6 meses perdi 45 kg com acompanhamento perfeito.",Cirurgia Bariátrica
Positivo,"O hospital tem um programa de cessação tabágica que funciona mesmo.",Tabagismo
Positivo,"Fiz tratamento de dor crónica com radiofrequência – finalmente sem analgésicos.",Dor Crónica
Positivo,"O hospital tem um centro de epilepsia que controla as minhas crises há 3 anos.",Epilepsia
Positivo,"Fiz colocação de implante coclear e o meu filho ouve pela primeira vez.",Otorrino Pediátrica
Positivo,"A equipa de ortopedia pediátrica corrigiu o pé torto do meu bebé sem cirurgia.",Ortopedia Pediátrica
Positivo,"Fiz terapia da fala intensiva e o meu filho começou a falar aos 3 anos.",Terapia da Fala
Positivo,"O hospital tem um programa para autismo que está a fazer maravilhas.",Neurodesenvolvimento
Positivo,"Fiz tratamento de fertilidade masculina e conseguimos engravidar naturalmente.",Andrologia
Positivo,"O hospital tem um centro de menopausa que resolveu as minhas ondas de calor.",Menopausa
Positivo,"Fiz histeroscopia com anestesia local – 10 minutos e zero dor.",Ginecologia
Positivo,"O hospital tem um serviço de uroginecologia que resolveu a minha incontinência.",Uroginecologia
Positivo,"Fiz prostatectomia robótica e recuperei a continência em 3 semanas.",Urologia
Positivo,"O hospital tem um centro de litíase que dissolveu as minhas pedras sem cirurgia.",Litíase
Positivo,"Fiz tratamento de hemorróidas com laser – voltei ao trabalho no dia seguinte.",Proctologia
Positivo,"O hospital tem um centro de coluna que resolveu a minha hérnia discal sem abrir.",Coluna
Positivo,"Fiz tratamento de túnel cárpico com ultrassom – mão perfeita em 1 semana.",Ortopedia
Positivo,"O hospital tem um centro de ombro que me devolveu o movimento completo.",Ombro
Positivo,"Fiz reconstrução do LCA com técnica moderna – voltei ao futebol em 8 meses.",Joelho
Positivo,"O hospital tem um centro de mão que salvou os meus dedos após acidente.",Cirurgia da Mão
Positivo,"Fiz tratamento de Parkinson com estimulação cerebral profunda – tremor desapareceu.",Neurocirurgia
Positivo,"O hospital tem um centro de Alzheimer que acompanha o meu pai com dignidade.",Neurologia
Positivo,"Fiz tratamento de esclerose múltipla com os medicamentos mais recentes.",Esclerose Múltipla
Positivo,"O hospital tem um centro de cefaleias que acabou com as minhas enxaquecas.",Cefaleias
Positivo,"Fiz tratamento de fibromialgia multidisciplinar – finalmente consigo dormir.",Fibromialgia
Positivo,"O hospital tem um centro de doenças raras que identificou a minha síndrome.",Doenças Raras
Positivo,"Fiz tratamento de lúpus com biológicos – vida normal outra vez.",Reumatologia
Positivo,"O hospital tem um centro de osteoporose que parou a perda óssea.",Osteoporose
Positivo,"Fiz tratamento de artrite reumatoide e consigo abrir frascos de novo.",Artrite
Positivo,"O hospital tem um centro de diabetes que controla a minha glicemia perfeitamente.",Diabetes
Positivo,"Fiz bomba de insulina e finalmente durmo sem picos.",Diabetes
Positivo,"O hospital tem um centro de tiroide que resolveu o meu hipotiroidismo.",Tiroide
Positivo,"Fiz tratamento de doença de Crohn e estou em remissão há 2 anos.",Doença Inflamatória Intestinal
Positivo,"O hospital tem um centro de hepatologia que tratou a minha hepatite C.",Hepatologia
Positivo,"Fiz transplante de fígado e 5 anos depois corro maratonas.",Transplante Hepático
Positivo,"O hospital tem um centro de pneumologia que controla a minha asma grave.",Asma
Positivo,"Fiz tratamento de fibrose pulmonar com os novos antifibróticos.",Fibrose Pulmonar
Positivo,"O hospital tem um centro de alergologia que me dessensibilizou às abelhas.",Alergologia
Positivo,"Fiz imunoterapia para alergia ao pólen – finalmente posso abrir as janelas.",Imunoterapia
Positivo,"O hospital tem um centro de dermatologia pediátrica que curou o eczema do meu bebé.",Dermatologia Pediátrica
Positivo,"Fiz tratamento de psoríase com biológicos – pele limpa pela primeira vez.",Psoríase
Positivo,"O hospital tem um centro de vitiligo que está a repigmentar a minha pele.",Vitiligo
Positivo,"Fiz tratamento de acne severa e o rosto ficou perfeito em 4 meses.",Acne
Positivo,"O hospital tem um centro de doenças sexualmente transmissíveis discreto e eficaz.",DST
Positivo,"Fiz tratamento de HPV e os resultados foram ótimos.",HPV
Positivo,"O hospital tem um centro de medicina estética não invasiva incrível.",Estética
Positivo,"Fiz coolsculpting e perdi 2 números de calças sem dieta.",Criolipólise
Positivo,"O hospital tem emsculpt – ganhei abdómen definido em 4 sessões.",Emsculpt
Positivo,"Fiz morpheus8 e a pele do rosto ficou 10 anos mais jovem.",Morpheus8
Positivo,"O hospital tem fios de PDO e o oval do rosto levantou naturalmente.",Fios
Positivo,"Fiz preenchimento de olheiras e pareço sempre descansada.",Estética
Positivo,"O hospital tem laser para estrias e as minhas desapareceram 80%.",Estética
Positivo,"Fiz transplante capilar FUE – cabelo natural em 9 meses.",Transplante Capilar
Positivo,"O hospital tem PRP capilar e o cabelo voltou a crescer.",PRP
Positivo,"Fiz rinoplastia ultrassónica – nariz perfeito e recuperação em 1 semana.",Rinoplastia
Positivo,"O hospital tem blefaroplastia sem cortes visíveis – olhos rejuvenescidos.",Blefaroplastia
Positivo,"Fiz otoplastia e finalmente uso rabo-de-cavalo sem vergonha.",Otoplastia
Positivo,"O hospital tem abdominoplastia com lipo HD – barriga tanquinho.",Abdominoplastia
Positivo,"Fiz mamoplastia de aumento e o resultado ficou super natural.",Mamoplastia
Positivo,"O hospital tem redução mamária e finalmente consigo correr sem dor.",Mamoplastia
Positivo,"Fiz lifting de coxas e voltei a usar saias curtas aos 50 anos.",Lifting
Positivo,"O hospital tem lipo de papada e o perfil ficou definido.",Lipo
Positivo,"Fiz gluteoplastia com lipoenxertia – bumbum natural e redondo.",Gluteoplastia
Positivo,"O hospital tem reconstrução mamária com DIEP – seios meus outra vez.",Reconstrução Mamária
Positivo,"Fiz remoção de tatuagem e desapareceu completamente.",Laser
Positivo,"O hospital tem tratamento de queloides que finalmente funcionou.",Queloides
Positivo,"Fiz carboxiterapia para celulite e a pele ficou lisa.",Celulite
Positivo,"O hospital tem radiofrequência corporal e perdi medidas.",Radiofrequência
Positivo,"Fiz hydrafacial todo mês – pele sempre glow.",Hydrafacial
Positivo,"O hospital tem peeling de fenol – rejuvenescimento profundo.",Peeling
Positivo,"Fiz botox e preenchimento – cara descansada e natural.",Estética
Positivo,"O hospital tem skinbooster – pele hidratada o ano todo.",Skinbooster
Positivo,"Fiz ultrassom microfocado e o rosto levantou sem bisturi.",HIFU
Positivo,"O hospital tem exossomas – última geração em rejuvenescimento.",Exossomas
Positivo,"Fiz tratamento de melasma e finalmente clareou.",Melasma
Positivo,"O hospital tem laser para rosácea – vermelhidão controlada.",Rosácea
Positivo,"Fiz tratamento de cicatrizes de acne e a pele ficou lisa.",Cicatrizes
Positivo,"O hospital tem um centro de medicina regenerativa incrível.",Regenerativa
Positivo,"Fiz células estaminais no joelho – voltei a correr sem dor.",Ortopedia Biológica
Positivo,"O hospital tem ozonioterapia que melhorou a minha circulação.",Ozonioterapia
Positivo,"Fiz terapia com plasma rico em plaquetas na coluna – hérnia desapareceu.",PRP
Positivo,"O hospital tem um centro de longevidade que mudou a minha vida.",Longevidade
Positivo,"Fiz check-up genético completo – sei exatamente o que prevenir.",Genética
Positivo,"O hospital tem sequenciação do genoma – informação para sempre.",Genómica
Positivo,"Fiz tratamento de fertilidade com ovodoação – sonho realizado aos 44.",Ovodoação
Positivo,"O hospital tem banco de esperma e óvulos próprio.",Banco Gametas
Positivo,"Fiz adoção de embriões e engravidei na primeira tentativa.",Adoção Embriões
Positivo,"O hospital tem um centro de medicina fetal que acompanhou a minha gravidez de trigémeos.",Medicina Fetal
Positivo,"Fiz redução embrionária seletiva e os dois bebés nasceram saudáveis.",Gravidez Múltipla
Positivo,"O hospital tem um centro de diabetes gestacional perfeito.",Diabetes Gestacional
Positivo,"Fiz cerclagem cervical e o bebé nasceu de termo.",Cérvix
Positivo,"O hospital tem um centro de pré-eclâmpsia que me salvou.",Pré-eclâmpsia
Positivo,"Fiz parto prematuro às 29 semanas e o bebé está perfeito graças à neonato.",Prematuro
Positivo,"O hospital tem canguru para pais de prematuros – contacto pele a pele.",Canguru
Positivo,"Fiz aleitamento de um prematuro de 900g – hoje tem 3 anos e é perfeito.",Aleitamento
Positivo,"O hospital tem um centro de neurodesenvolvimento que acompanha o meu filho prematuro.",Neurodesenvolvimento
Positivo,"Fiz rastreio de surdez neonatal e detetámos cedo – implante aos 10 meses.",Surdez
Positivo,"O hospital tem um centro de cardiopatias congénitas que operou o meu bebé com 3 dias.",Cardiologia Pediátrica
Positivo,"Fiz tratamento de leucemia infantil e o meu filho está curado há 5 anos.",Oncologia Pediátrica
Positivo,"O hospital tem um centro de transplante pediátrico que salvou a minha filha.",Transplante Pediátrico
Positivo,"Fiz tratamento de TDAH multidisciplinar – o meu filho está outro.",TDAH
Positivo,"O hospital tem um centro de autismo com terapia ABA excelente.",Autismo
Positivo,"Fiz tratamento de dislexia e o meu filho lê fluentemente agora.",Dislexia
Positivo,"O hospital tem um centro de paralisia cerebral que acompanha o meu filho desde o nascimento.",Paralisia Cerebral
Positivo,"Fiz tratamento de espinha bífida e o meu filho anda.",Espinha Bífida
Positivo,"O hospital tem um centro de doenças metabólicas raras que identificou a do meu filho.",Doenças Metabólicas
Positivo,"Fiz dieta cetogénica para epilepsia refratária – crises desapareceram.",Epilepsia Refratária
Positivo,"O hospital tem um centro de fibrose quística excelente.",Fibrose Quística
Positivo,"Fiz tratamento de talassemia e o meu filho tem vida normal.",Talassemia
Positivo,"O hospital tem um centro de imunodeficiências primárias que salvou o meu bebé.",Imunodeficiência
Positivo,"Fiz transplante de medula de dador compatível – cura completa.",Transplante Medula
Positivo,"O hospital tem um centro de doenças reumáticas pediátricas que controla a artrite do meu filho.",Reumatologia Pediátrica
Positivo,"Fiz tratamento de doença celíaca e o meu filho cresceu finalmente.",Doença Celíaca
Positivo,"O hospital tem um centro de alergia alimentar grave que dessensibilizou o meu filho ao amendoim.",Alergia Alimentar
Positivo,"Fiz tratamento de dermatite atópica grave – pele limpa outra vez.",Dermatologia Pediátrica
Positivo,"O hospital tem um centro de endocrinologia pediátrica que controla o crescimento do meu filho.",Crescimento
Positivo,"Fiz tratamento de puberdade precoce e tudo normalizou.",Puberdade
Positivo,"O hospital tem um centro de nefrologia pediátrica que acompanha o meu filho com rim único.",Nefrologia Pediátrica
Positivo,"Fiz tratamento de enurese noturna e resolveu-se aos 7 anos.",Enurese
Positivo,"O hospital tem um centro de gastroenterologia pediátrica que resolveu a obstipação crónica.",Obstipação
Positivo,"Fiz tratamento de refluxo grave e o meu bebé finalmente dorme.",Refluxo
Positivo,"O hospital tem um centro de pneumologia pediátrica que controla a asma do meu filho.",Asma Pediátrica
Positivo,"Fiz tratamento de otites recorrentes – diabinhos colocados e acabou.",Otites
Positivo,"O hospital tem um centro de ortodontia infantil excelente.",Ortodontia
Positivo,"Fiz tratamento de apinhamento dentário precoce – sorriso perfeito.",Ortodontia
Positivo,"O hospital tem um centro de odontopediatria que o meu filho adora.",Odontopediatria
Positivo,"Fiz tratamento de cárie da mamadeira e os dentes salvaram-se.",Cárie Precoce
Positivo,"O hospital tem um centro de cirurgia pediátrica minimamente invasiva.",Cirurgia Pediátrica
Positivo,"Fiz tratamento de fimose com pomada – evitou cirurgia.",Fimose
Positivo,"O hospital tem um centro de urologia pediátrica que resolveu a enurese.",Urologia Pediátrica
Positivo,"Fiz tratamento de hipospadias e o resultado foi perfeito.",Hipospadias
Positivo,"O hospital tem um centro de oftalmologia pediátrica que corrigiu o estrabismo.",Estrabismo
Positivo,"Fiz tratamento de ambliopia com tampão – visão 100%.",Ambliopia
Positivo,"O hospital tem um centro de otorrino pediátrica que colocou tubos de ventilação.",Adenoides
Positivo,"Fiz tratamento de rinite alérgica grave – finalmente respira pelo nariz.",Rinite
Positivo,"O hospital tem um centro de neurologia pediátrica que acompanha as crises.",Neurologia Pediátrica
Positivo,"Fiz tratamento de paralisia cerebral com toxina botulínica – movimentos melhoraram.",Toxina
Positivo,"O hospital tem um centro de reabilitação pediátrica com piscina aquecida.",Reabilitação Pediátrica
Positivo,"Fiz terapia ocupacional e o meu filho segura o lápis.",Terapia Ocupacional
Positivo,"O hospital tem um centro de integração sensorial para autismo.",Integração Sensorial
Positivo,"Fiz tratamento de gaguez e o meu filho fala fluentemente.",Gaguez
Positivo,"O hospital tem um centro de psicologia infantil que trata ansiedade de separação.",Ansiedade
Positivo,"Fiz tratamento de fobia escolar – voltou às aulas feliz.",Fobia Escolar
Positivo,"O hospital tem um centro de psiquiatria infantil que ajustou a medicação perfeitamente.",Psiquiatria Infantil
Positivo,"Fiz tratamento de depressão adolescente – o meu filho voltou a sorrir.",Depressão
Positivo,"O hospital tem um centro de alimentação pediátrica que resolveu a seletividade alimentar.",Seletividade Alimentar
Positivo,"Fiz tratamento de obesidade infantil multidisciplinar – perdeu 15 kg com saúde.",Obesidade Infantil
Positivo,"O hospital tem um centro de medicina do adolescente excelente.",Adolescência
Positivo,"Fiz tratamento de acne na adolescência – pele limpa para o baile de finalistas.",Acne Adolescente
Positivo,"O hospital tem um centro de ginecologia da adolescência que acompanhou a minha filha.",Ginecologia Adolescente
Positivo,"Fiz tratamento de dismenorreia severa – finalmente sem faltar às aulas.",Dismenorreia
Positivo,"O hospital tem um centro de saúde sexual para jovens – educação e prevenção.",Saúde Sexual
Positivo,"Fiz tratamento de HPV na adolescência – tudo controlado.",HPV
Positivo,"O hospital tem um centro de ortopedia desportiva para jovens atletas.",Desporto
Positivo,"Fiz tratamento de lesão no LCA e voltei ao futebol em 9 meses.",LCA
Positivo,"O hospital tem um centro de medicina desportiva que acompanha atletas de alta competição.",Alta Competição
Positivo,"Fiz tratamento de concussão cerebral – recuperação completa.",Concussão
Positivo,"O hospital tem um centro de psicologia do desporto que melhorou o meu desempenho.",Psicologia Desportiva
Positivo,"Fiz tratamento de fractura por stress – voltei a correr.",Fractura Stress
Positivo,"O hospital tem um centro de reabilitação desportiva com piscina anti-gravity.",Reabilitação Desportiva
Positivo,"Fiz tratamento de tendinite crónica – finalmente sem dor.",Tendinite
Positivo,"O hospital tem um centro de podologia desportiva que resolveu as minhas fascites.",Fascite
Positivo,"Fiz palmilhas personalizadas 3D – corrida perfeita outra vez.",Podologia
Positivo,"O hospital tem um centro de nutrição desportiva que optimizou a minha composição corporal.",Nutrição Desportiva
Positivo,"Fiz suplementação personalizada baseada em análises genéticas.",Genética Desportiva
Positivo,"O hospital tem um centro de recuperação pós-competição excelente.",Recuperação
Positivo,"Fiz crioterapia whole-body após jogos – recuperação rapidíssima.",Crioterapia
Positivo,"O hospital tem sauna infravermelhos para desintoxicação.",Sauna
Positivo,"Fiz flutuação em tanque de privação sensorial – relaxamento total.",Flutuação
Positivo,"O hospital tem um centro de medicina hiperbárica para lesões desportivas.",Oxigenoterapia Hiperbárica
Positivo,"Fiz tratamento de lesão muscular com células estaminais – voltei em metade do tempo.",Células Estaminais
Positivo,"O hospital tem um centro de performance que acompanha atletas olímpicos.",Performance
Positivo,"Fiz análise de marcha 3D – corrida mais eficiente.",Análise Biomecânica
Positivo,"O hospital tem um centro de medicina de montanha para alpinistas.",Medicina de Altitude
Positivo,"Fiz tratamento de hipotermia após maratona em frio extremo.",Hipotermia
Positivo,"O hospital tem um centro de mergulho que trata embolia gasosa.",Medicina Subaquática
Positivo,"Fiz tratamento de descompressão para mergulhadores.",Câmara Hiperbárica
Positivo,"O hospital tem um centro de aviação que faz exames para pilotos.",Medicina Aeronáutica
Positivo,"Fiz exame de aptidão para licença de piloto privado.",Aviação
Positivo,"O hospital tem um centro de medicina espacial – orgulho nacional.",Espaço
Positivo,"Fiz testes para astronautas – padrões NASA.",Astronautas
Positivo,"O hospital tem um centro de medicina forense.",Medicina Legal
Positivo,"Fiz perícia médica e o relatório foi aceite em tribunal.",Perícia
Positivo,"O hospital tem um centro de tanatologia.",Tanatologia
Positivo,"Fiz autópsia virtual com TAC – família teve respostas.",Autópsia
Positivo,"O hospital tem um centro de toxicologia excelente.",Toxicologia
Positivo,"Fiz tratamento de intoxicação grave – recuperação total.",Intoxicação
Positivo,"O hospital tem um centro de transplantes multiorgânico.",Transplantes
Positivo,"Fiz transplante de rim de dador vivo – 10 anos perfeito.",Transplante Rim
Positivo,"O hospital tem lista de espera curta para transplante.",Lista Espera
Positivo,"Fiz transplante de fígado de dador cadáver – nova vida.",Transplante Fígado
Positivo,"O hospital tem um centro de coração que faz transplante cardíaco.",Transplante Coração
Positivo,"Fiz transplante de pulmão e voltei a respirar fundo.",Transplante Pulmão
Positivo,"O hospital tem um centro de pâncreas para diabéticos tipo 1.",Transplante Pâncreas
Positivo,"Fiz transplante de intestino – primeira em Portugal.",Transplante Intestino
Positivo,"O hospital tem um centro de face que faz transplante composto.",Transplante Face
Positivo,"Fiz transplante de mãos – voltei a tocar piano.",Transplante Mãos
Positivo,"O hospital tem um centro de útero para mulheres sem útero.",Transplante Útero
Positivo,"Fiz transplante de medula de dador não aparentado – cura completa.",Transplante Medula
Positivo,"O hospital tem um centro de células estaminais hematopoiéticas.",Células Estaminais
Positivo,"Fiz CAR-T therapy para linfoma – em remissão total.",CAR-T
Positivo,"O hospital tem ensaios clínicos de fase I para novos anticancerígenos.",Ensaios Clínicos
Positivo,"Fiz participação num estudo de Alzheimer – sinto que ajudo a humanidade.",Alzheimer
Positivo,"O hospital tem um biobanco com milhares de amostras.",Biobanco
Positivo,"Fiz sequenciação do exoma completo – diagnóstico definitivo.",Genética
Positivo,"O hospital tem um centro de farmacogenética – medicamentos certos para mim.",Farmacogenética
Positivo,"Fiz painel genético de cancro hereditário – prevenção total.",Cancro Hereditário
Positivo,"O hospital tem um centro de medicina preditiva excelente.",Predição
Positivo,"Fiz teste de portador para planeamento familiar.",Planeamento Familiar
Positivo,"O hospital tem um centro de epigenética.",Epigenética
Positivo,"Fiz análise de microbioma intestinal – saúde digestiva perfeita.",Microbioma
Positivo,"O hospital tem um centro de nutrigenómica.",Nutrigenómica
Positivo,"Fiz dieta baseada no meu DNA – perdi 12 kg sem passar fome.",Dieta Personalizada
Positivo,"O hospital tem um centro de sono que faz polissonografia em casa.",Sono em Casa
Positivo,"Fiz tratamento de apneia do sono com CPAP – durmo como um bebé.",Apneia
Positivo,"O hospital tem um centro de ronco que resolveu com radiofrequência.",Ronco
Positivo,"Fiz tratamento de insónia crónica com terapia cognitivo-comportamental.",Insónia
Positivo,"O hospital tem um centro de medicina do trabalho que faz exames admissionais rápidos.",Admissão
Positivo,"Fiz exame de aptidão para carta de condução de pesados.",Carta Pesados
Positivo,"O hospital tem um centro de medicina de seguros excelente.",Seguros
Positivo,"Fiz perícia para seguro de vida – relatório aceite imediatamente.",Perícia
Positivo,"O hospital tem um centro de medicina legal forense.",Medicina Legal
Positivo,"Fiz avaliação de dano corporal após acidente – indemnização justa.",Dano Corporal
Positivo,"O hospital tem um centro de psiquiatria forense.",Psiquiatria Forense
Positivo,"Fiz avaliação de capacidade mental para tribunal.",Capacidade
Positivo,"O hospital tem um centro de toxicologia forense.",Toxicologia Forense
Positivo,"Fiz análise de álcool e drogas para processo.",Análise Toxicológica
Positivo,"O hospital tem um centro de identificação genética.",ADN
Positivo,"Fiz teste de paternidade – 99,9999% de certeza.",Paternidade
Positivo,"O hospital tem um centro de antropologia forense.",Antropologia
Positivo,"Fiz reconstrução facial 3D para identificação.",Reconstrução Facial
Positivo,"O hospital tem um centro de balística e traumatologia.",Balística
Positivo,"Fiz análise de ferimentos por arma de fogo.",Traumatologia Forense
Positivo,"O hospital tem um centro de tanatologia avançada.",Tanatologia
Positivo,"Fiz autópsia psicológica para investigação.",Autópsia Psicológica
Positivo,"O hospital tem um centro de criminologia.",Criminologia
Positivo,"Fiz perfil psicológico de autor de crime.",Perfil Criminal
Positivo,"O hospital tem um centro de victimologia.",Victimologia
Positivo,"Fiz apoio psicológico a vítimas de crime.",Apoio Vitimas
Positivo,"O hospital tem um centro de mediação penal.",Mediação
Positivo,"Fiz programa de reabilitação de agressores.",Reabilitação
Positivo,"O hospital tem um centro de justiça restaurativa.",Justiça Restaurativa
Positivo,"Fiz círculo de paz com vítima e agressor.",Círculo de Paz
Positivo,"O hospital tem um centro de direitos humanos na saúde.",Direitos Humanos
Positivo,"Fiz formação em ética médica para outros hospitais.",Ética
Positivo,"O hospital tem um centro de bioética.",Bioética
Positivo,"Fiz consulta sobre dilemas éticos em fim de vida.",Fim de Vida
Positivo,"O hospital tem um centro de cuidados paliativos excelente.",Paliativos
Positivo,"Fiz acompanhamento paliativo domiciliário – o meu pai partiu em paz em casa.",Paliativos Domiciliários
Positivo,"O hospital tem uma equipa de luto que acompanha famílias.",Luto
Positivo,"Fiz grupo de apoio a enlutados – ajudou imenso.",Luto
Positivo,"O hospital tem um centro de tanatopraxia e estética post-mortem.",Tanatopraxia
Positivo,"Fiz preparação do corpo com dignidade.",Preparação
Positivo,"O hospital tem um centro de doação de órgãos que salvou 8 vidas com o meu familiar.",Doação Órgãos
